q00,q09b
2,0
3,1
4,
5,1
6,0
7,
8,0
9,1
10,1
11,1
12,1
13,0
14,1
15,1
16,1
17,1
18,0
19,1
20,0
21,1
22,1
23,0
24,1
25,
26,0
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,0
39,0
40,1
41,0
42,
43,1
44,1
45,
46,0
47,1
48,1
49,1
50,1
51,0
52,1
53,
54,1
55,1
56,0
57,1
58,1
59,1
60,1
61,1
62,0
63,1
64,1
65,
66,0
67,1
68,0
69,0
70,1
71,1
72,1
73,0
74,1
75,1
76,1
77,0
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,0
86,1
87,1
88,1
89,1
90,1
91,1
92,0
93,0
94,1
95,1
96,1
97,1
98,0
99,0
100,1
101,1
102,1
103,0
104,0
105,1
106,0
107,1
108,0
109,1
110,0
111,0
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,
122,1
123,1
124,1
125,1
126,
127,1
128,0
129,1
130,1
131,1
132,
133,0
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,0
145,0
146,1
147,1
148,1
149,1
150,1
151,0
152,1
153,0
154,0
156,
157,1
158,1
159,1
160,1
161,1
162,1
163,0
164,
165,0
166,1
167,1
168,1
169,0
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,0
178,1
179,1
180,0
181,1
182,1
183,1
184,0
185,1
186,1
187,1
188,1
189,
190,1
191,0
192,1
193,
194,1
195,0
196,0
197,1
198,0
199,0
200,1
201,1
202,0
203,1
204,0
205,1
206,0
207,1
208,0
209,1
210,1
211,0
212,1
213,0
214,1
215,1
216,0
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,
229,1
230,1
231,
232,1
233,0
234,1
235,0
236,1
237,1
238,0
239,1
240,1
241,1
242,0
243,1
244,1
245,1
246,1
247,
248,1
249,1
250,0
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,0
260,1
261,
262,1
263,1
264,1
265,1
266,0
267,1
268,0
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,0
277,0
278,0
279,0
280,0
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,0
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,0
305,0
306,0
307,0
308,1
309,1
310,
311,1
312,1
313,1
314,0
315,1
316,1
317,1
318,1
319,1
320,0
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,0
336,1
337,1
338,1
339,
340,1
341,0
342,1
343,0
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,0
355,1
356,0
357,0
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,0
367,1
368,1
369,1
370,1
371,1
372,0
373,1
374,0
375,1
376,0
377,1
378,1
379,0
380,
381,1
382,1
383,1
384,1
385,1
386,1
387,0
388,1
389,1
390,1
391,0
392,1
393,0
394,1
395,1
396,1
397,0
398,1
399,
400,1
401,1
402,1
403,0
404,1
405,
406,0
407,
408,1
409,0
410,0
411,
412,1
413,0
414,1
415,0
416,0
417,1
418,1
419,
420,0
421,
422,1
423,1
424,1
425,1
426,0
427,1
428,0
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,0
437,0
438,0
439,0
440,
441,1
442,0
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,0
452,1
453,
454,1
455,0
456,1
457,1
458,0
459,1
460,0
461,0
462,0
463,1
464,1
465,
466,1
467,1
468,0
469,0
470,1
471,0
472,1
473,1
474,0
475,1
476,1
477,0
478,1
479,1
480,1
481,1
482,1
483,0
484,1
485,1
486,1
487,0
488,1
489,1
490,1
491,1
492,
493,1
494,1
495,1
496,1
497,1
498,1
499,0
500,1
501,1
502,1
503,1
504,1
505,1
506,1
508,1
509,1
510,0
511,1
512,1
513,0
514,1
515,1
516,1
517,1
518,1
519,1
520,0
521,1
522,
523,0
524,0
525,0
526,1
527,1
528,0
529,
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,0
540,1
541,0
542,0
543,1
544,0
545,1
546,0
547,1
549,1
550,
551,0
552,1
554,1
555,
556,1
557,1
558,1
559,1
560,1
561,1
562,0
563,0
564,1
565,1
566,0
567,1
568,1
569,1
570,1
571,1
572,0
573,0
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,
582,1
583,0
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,0
601,1
602,1
603,1
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,0
613,1
614,
615,1
616,0
617,1
618,1
619,0
620,1
621,1
622,0
623,1
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,0
633,1
634,1
635,1
636,1
637,1
638,1
639,1
640,1
641,1
644,1
645,0
646,1
647,1
648,0
649,1
650,1
651,1
652,0
653,0
654,1
655,1
656,1
657,1
658,1
659,1
660,1
661,1
662,0
663,1
664,1
665,1
666,1
667,1
668,0
669,0
670,0
671,1
672,1
673,0
674,1
675,1
676,0
677,1
678,1
679,
680,1
681,0
682,1
683,
684,1
685,1
686,1
687,1
688,1
689,1
690,0
692,0
693,1
695,0
696,0
697,1
698,0
699,0
700,1
701,1
702,1
703,1
704,0
705,1
706,1
707,1
708,0
709,1
710,0
711,1
712,0
713,1
714,0
715,1
716,1
717,1
718,1
719,0
720,1
721,1
722,
723,1
724,1
725,1
726,1
727,1
728,1
729,1
730,1
731,1
732,0
733,1
734,1
735,1
736,1
737,1
738,0
739,1
740,0
741,0
742,1
743,1
744,1
745,0
746,1
747,0
748,1
749,1
750,0
751,0
752,1
753,0
754,0
755,1
756,1
757,1
758,1
759,1
760,0
761,0
762,1
763,1
764,1
765,0
766,0
767,0
768,0
769,0
770,1
771,0
772,1
773,0
774,1
775,
776,1
777,0
778,0
779,1
780,1
781,1
782,1
783,1
784,1
785,1
786,0
787,1
788,0
789,1
790,1
791,1
792,1
793,1
794,1
795,1
796,1
797,1
798,1
799,1
800,1
801,1
802,1
803,1
804,1
805,1
806,
807,1
808,1
809,0
810,1
811,0
812,
813,1
814,0
815,1
816,1
818,1
819,0
820,1
821,0
822,1
823,0
824,1
825,1
826,0
827,
828,1
829,0
830,0
831,1
832,1
833,1
834,0
835,1
836,1
837,1
838,0
839,1
840,1
841,1
842,1
843,1
844,1
845,0
847,1
848,1
849,1
850,1
851,1
852,1
853,1
854,0
856,1
857,1
859,1
860,1
861,0
862,0
863,0
864,1
865,1
866,1
867,0
868,1
869,1
870,0
871,0
872,1
873,1
874,1
875,1
876,1
877,0
878,0
879,0
880,1
881,0
