q00,q18b,q18bst,q18bmt,q18bun
2,2,0,1,0
3,2,0,1,0
4,2,0,1,0
5,2,0,1,0
6,1,1,0,0
7,2,0,1,0
8,2,0,1,0
9,2,0,1,0
10,1,1,0,0
11,2,0,1,0
12,1,1,0,0
13,1,1,0,0
14,2,0,1,0
15,1,1,0,0
16,2,0,1,0
17,2,0,1,0
18,,,,
19,2,0,1,0
20,4,1,0,1
21,2,0,1,0
22,,,,
23,2,0,1,0
24,2,0,1,0
25,1,1,0,0
26,1,1,0,0
27,1,1,0,0
28,2,0,1,0
29,,,,
30,2,0,1,0
31,1,1,0,0
32,1,1,0,0
33,2,0,1,0
34,2,0,1,0
35,2,0,1,0
36,,,,
37,2,0,1,0
38,1,1,0,0
39,2,0,1,0
40,2,0,1,0
41,5,0,0,0
42,,,,
43,,,,
44,1,1,0,0
45,,,,
46,1,1,0,0
47,,,,
48,4,1,0,1
49,3,0,0,1
50,2,0,1,0
51,2,0,1,0
52,2,0,1,0
53,1,1,0,0
54,2,0,1,0
55,2,0,1,0
56,2,0,1,0
57,1,1,0,0
58,1,1,0,0
59,2,0,1,0
60,,,,
61,2,0,1,0
62,1,1,0,0
63,2,0,1,0
64,1,1,0,0
65,3,0,0,1
66,2,0,1,0
67,2,0,1,0
68,2,0,1,0
69,,,,
70,2,0,1,0
71,2,0,1,0
72,2,0,1,0
73,2,0,1,0
74,2,0,1,0
75,,,,
76,2,0,1,0
77,2,0,1,0
78,1,1,0,0
79,2,0,1,0
80,,,,
81,4,1,1,0
82,3,0,0,1
83,,,,
84,2,0,1,0
85,2,0,1,0
86,2,0,1,0
87,2,0,1,0
88,1,1,0,0
89,2,0,1,0
90,,,,
91,1,1,0,0
92,,,,
93,2,0,1,0
94,4,1,1,1
95,1,1,0,0
96,2,0,1,0
97,2,0,1,0
98,2,0,1,0
99,2,0,1,0
100,2,0,1,0
101,2,0,1,0
102,2,0,1,0
103,1,1,0,0
104,,,,
105,,,,
106,5,0,0,0
107,2,0,1,0
108,2,0,1,0
109,2,0,1,0
110,1,1,0,0
111,2,0,1,0
112,2,0,1,0
113,,,,
114,2,0,1,0
115,3,0,0,1
116,2,0,1,0
117,2,0,1,0
118,2,0,1,0
119,,,,
120,2,0,1,0
121,2,0,1,0
122,2,0,1,0
123,2,0,1,0
124,2,0,1,0
125,2,0,1,0
126,,,,
127,2,0,1,0
128,3,0,0,1
129,,,,
130,2,0,1,0
131,2,0,1,0
132,1,1,0,0
133,2,0,1,0
134,1,1,0,0
135,,,,
136,5,0,0,0
137,2,0,1,0
138,1,1,0,0
139,1,1,0,0
140,2,0,1,0
141,2,0,1,0
142,1,1,0,0
143,1,1,0,0
144,2,0,1,0
