,prim_ind_text,prim_ind_topic_id,prim_ind_probability,types_res_text,types_res_topic_id,types_res_probability,future_res_text,future_res_topic_id,future_res_probability,research_educ_text,research_educ_topic_id,research_educ_probability,how_pick_events_text,how_pick_events_topic_id,how_pick_events_probability,events_attend_recent_text,events_attend_recent_topic_id,events_attend_recent_probability,ideal_topics_text,ideal_topics_topic_id,ideal_topics_probability,ideal_attendees_text,ideal_attendees_topic_id,ideal_attendees_probability,recommendations_text,recommendations_topic_id,recommendations_probability,big_answer,persona_id,polarity,subjectivity
0,maritime,misc,0.125,both qualitative and quantitative research,qual/quant,0.8541022350152339,both qualitative and quantitative research,"moderate, unmoderate",0.874898640654555,,"masters, bachelors",0.16666666666666669,,pay,0.16666666666666669,"CHI, INTERACT","london, user_research",0.380700552175697,research-practice connections,case_study,0.25,,"industry, team, product",0.25,research-practice connections,"group, career, city",0.5983976937442566,"sort of, psychology background.n/an/an/aCHI, INTERACTdepending on the professional valuesany, depending on the valuesn/aresearch-practice connectionsn/aresearch-practice connections",2,0.1,0.1
1,Higher education,education,0.7810995156206334,Multiple,focus group,0.125,Multiple,"evaluative, quantitative, qualitative",0.125,Research methods and statistics training in both undergraduate and graduate education,"experimental, psychology",0.9238965749722775,"Content, cost, timing (can I get away at this time? Do I have scheduling conflicts?)","reputation, value",0.5096144099853613,Hawaii international conference on Education,ia summit,0.8284883032929354,,case_study,0.25,,"industry, team, product",0.25,"Don’t create schedule conflicts with other relevant events
Do it somewhere that you can draw your desired crowd","group, career, city",0.8832797015605099,"Yes, I was taught how to conduct researchResearch methods and statistics training in both undergraduate and graduate educationContent, cost, timing (can I get away at this time? Do I have scheduling conflicts?)Dagstuhl workshop - small, intense, intimate groupHawaii international conference on EducationI would attend any of theseMulti-track: Every attendee chooses their own path with multiple options available for most time-slotsn/an/an/aDon’t create schedule conflicts with other relevant events
Do it somewhere that you can draw your desired crowd",2,0.19249999999999998,0.5175000000000001
2,University,misc,0.5623739998501361,"User research / Design research

Interviews, Surveys, FGs, User testing, both quant & qual, Analytics",ngram,0.6966103421181707,Online FG,journey mapping,0.5624999754463956,"BA Sociology
MA LIS
PhD. LIS

online courses, conferences...","online, non-degree",0.9234084535346483,"- time for travel (having two small children]
- speakers & topics","reputation, value",0.6997613698544751,"Research Tuesdays (Czech),  UX/Design Conferences, ","webinar, brighton",0.8281780659486905,,case_study,0.25,,"industry, team, product",0.25,"Looking forward! 
","group, career, city",0.7986337856729772,"Yes, I was taught how to conduct researchBA Sociology
MA LIS
PhD. LIS

online courses, conferences...- time for travel (having two small children]
- speakers & topicsCourses at Copenhagen University  (deep knowledge, great professors, ...)Research Tuesdays (Czech),  UX/Design Conferences, It depends - I really enjoyed small conferences as IXDA Education Summit as there is great opportunity to network with other educators. On the other side, sometimes is great just to attend big conference to find an inspiration or just to meet coll...It dependsn/an/an/aLooking forward! 
",2,0.21500000000000002,0.5
3,Ed Tech,commerce/consulting,0.7812038637383818,"surveys, interviews, focus groups, secondary data, qualitative coding, field testing, observations",validation,0.8328573477035517,"surveys, interviews, focus groups, secondary data, qualitative coding, field testing, observations, usability studies","moderate, unmoderate",0.4839280812730993,"I have an Applied Anthropology, MA. I designed, conducted, and authored a research project as a degree requirement (thesis) and took multiple methods courses.","experimental, psychology",0.5636556361053224,My professional development budget allows me to attend local conferences only (Seattle area). I choose conferences that align topically to my current work.,"value, reputation",0.5435634902693166,A local education implementation conference.,ia summit,0.7851095874707441,"Research design, innovative methods, communicating research, working with non-researchers, rapid cycle research",case_study,0.5438268325077562,,"industry, team, product",0.25,,"speaker, industry",0.2,"Yes, I was taught how to conduct researchI have an Applied Anthropology, MA. I designed, conducted, and authored a research project as a degree requirement (thesis) and took multiple methods courses.My professional development budget allows me to attend local conferences only (Seattle area). I choose conferences that align topically to my current work.A workshop at the Society for Applied Anthropology conference a few years back. We did a mock usability session.A local education implementation conference.Large conference: 500+ attendeesMulti-track: Every attendee chooses their own path with multiple options available for most time-slotsn/aResearch design, innovative methods, communicating research, working with non-researchers, rapid cycle researchn/an/a",2,0.14615384615384613,0.34615384615384615
4,education,fintech,0.5624738524295173,,focus group,0.125,,"evaluative, quantitative, qualitative",0.125,,"masters, bachelors",0.16666666666666669,,pay,0.16666666666666669,,"london, user_research",0.14285714285714288,,case_study,0.25,,"industry, team, product",0.25,,"speaker, industry",0.2,"No, I was not taught how to conduct researchn/an/an/an/aLarge conference: 500+ attendeesMulti-track: Every attendee chooses their own path with multiple options available for most time-slotsYou should consider the combination of conference size and structure, i.e. I would be equally interested in small single-track and large multi-track conferences.n/an/an/a",2,0.24489795918367346,0.4612244897959183
5,Higher Education,education,0.7810995156206334,"As a university, we conduct a variety of research. I've noticed a general increase in pseudoquantitative research.",market,0.6249867099200848,"All of the research, I think the biggest growth will be computational researcher.",focus group,0.7811518236097272,"I have a Ph.D in Library and Information Science, my work and teaching has involved UX research and Information Architecture for a while. I also interned with a local firm that does UX research. Additionally, as a discipline we're increasingly entangled with data science, so I'm getting more of that, though to the extent I'm familiar it's largely been self taught.","online, non-degree",0.9729295940852929,"As a graduate student it was largely based on where, how much, and its strategic impact on my career. Conferencing seems to have a minimum impact so I've dialed it back a bit. I'm looking for events etc, that have that sort of sweet spot of interesting topics, interesting formats, potential impact on my career, ability to network. For locations I'm mostly looking for stuff that's in either a place I want to go, and is affordable. So like US cities work well for me because I'm American. There are a bunch of Academic conferences at exotic locations. I generally skip those. ","price, location",0.9813123667746323,"IA Summit, ASIST","london, user_research",0.5090619687266236,,case_study,0.25,"I like a mix, academics and professionals, quals and quants, etc. ",indi young,0.9146358441561179,"I actually feel like the biggest contribution to this area might be an unconference, or series of unconferences, where workshops and presentations can get blended together. There's another similar thing I've seen where there is this really cool symposium that they have in the design thinking research community where they have a conference where all the attendees use a single set of research data to conduct a variety of studies. I thought that was a righteous idea. ","group, career, city",0.9795824197526669,"Yes, I was taught how to conduct researchI have a Ph.D in Library and Information Science, my work and teaching has involved UX research and Information Architecture for a while. I also interned with a local firm that does UX research. Additionally, as a discipline we're increasingly entangled with data science, so I'm getting more of that, though to the extent I'm familiar it's largely been self taught.As a graduate student it was largely based on where, how much, and its strategic impact on my career. Conferencing seems to have a minimum impact so I've dialed it back a bit. I'm looking for events etc, that have that sort of sweet spot of interesting topics, interesting formats, potential impact on my career, ability to network. For locations I'm mostly looking for stuff that's in either a place I want to go, and is affordable. So like US cities work well for me because I'm American. There are a bunch of Academic conferences at exotic locations. I generally skip those. IA summit: High quality talks, enthusiastic community, I was able to volunteer or speak and get my fee waived.IA Summit, ASISTMid-size conference : 300-500 attendeesMulti-track: Every attendee chooses their own path with multiple options available for most time-slotsn/an/aI like a mix, academics and professionals, quals and quants, etc. I actually feel like the biggest contribution to this area might be an unconference, or series of unconferences, where workshops and presentations can get blended together. There's another similar thing I've seen where there is this really cool symposium that they have in the design thinking research community where they have a conference where all the attendees use a single set of research data to conduct a variety of studies. I thought that was a righteous idea. ",2,0.2407908163265306,0.4441581632653061
6,Education,fintech,0.5624738524295173,"descriptive
projectual
participatory",ngram,0.5621226635273654,Participatory,focus group,0.5624600012221515,,"masters, bachelors",0.16666666666666669,List of next conferences,"subject, feel, theme",0.42879552270666244,"Marketing and design, technology management, innovation","service design, australia",0.8567518108900086,"design, participatory analysis, ",case_study,0.8435283270685093,"companies, academic researchers, public policy makers","sam ladner, erika hall",0.8981595797655093,,"speaker, industry",0.2,"No, I was not taught how to conduct researchn/aList of next conferencesAcademic conferences 
Marketing and design, technology management, innovationMid-size conference : 300-500 attendeesMulti-track: Every attendee chooses their own path with multiple options available for most time-slotsn/adesign, participatory analysis, companies, academic researchers, public policy makersn/a",2,0.21428571428571427,0.28095238095238095
7,Education and research,fintech,0.7082001926081732,Applied research,focus group,0.5623483824527079,Applied and theoretic research,focus group,0.5623014314740696,I coursed a Master and a PhD Program,master degree,0.8602224791869428,According to my agenda and the quality (importamce) of the event,"subject, feel, theme",0.7891816912614407,"Seminars in different universities: UCLA, UPF, UB, etc.","service design, australia",0.7133235272116225,Sessions about new methodologies or cases studies,"new_method, mixed_method",0.7534541513537931,Leading researchers,"experience, jared spool",0.807815529393772,Go ahead! Your prestige is a guaranty,"speaker, industry",0.2,"Yes, I was taught how to conduct researchI coursed a Master and a PhD ProgramAccording to my agenda and the quality (importamce) of the eventA research stay in a leading UniversitySeminars in different universities: UCLA, UPF, UB, etc.Mid-size conference : 300-500 attendeesMulti-track: Every attendee chooses their own path with multiple options available for most time-slotsn/aSessions about new methodologies or cases studiesLeading researchersGo ahead! Your prestige is a guaranty",2,0.2784090909090909,0.49242424242424243
8,education,fintech,0.5624738524295173,ethnographic,testing,0.5620685037122245,ethnographic,card sort,0.5624497031156337,"took classes, worked as a mentored research assistant, went to summer training in research design and methods, tried some research strategies out individually",degree majors,0.9557710698255611,Through word of mouth and my previous experiences with specific conferences.,misc,0.8949887614996835,"Session at Society for Applied Anth conference on UX research, session at AAAs on GIS. ","urca, uxpa",0.8398854416164873,Sampling and participant recruitment; Strategies for data analysis; research design,quant/qual/data,0.939362531050893,People who are known to have developed skill sets and expertise in the methods/research addressed.,"experience, jared spool",0.8871239556560131,"It would be nice to have more conferences that bring together practitioners and researchers in academic positions, using similar research tools and strategies.","speaker, industry",0.9173396548650764,"Yes, I was taught how to conduct researchtook classes, worked as a mentored research assistant, went to summer training in research design and methods, tried some research strategies out individuallyThrough word of mouth and my previous experiences with specific conferences.Small conference on research on mass transit. It was organized extremely well, limited to about 18 people, everyone presented their research and received incredible feedback on methods and analysis, and there were additional spaces for more informal conversations. Also, many of the connections made in that conference are colleagues who I remain in contact with. Session at Society for Applied Anth conference on UX research, session at AAAs on GIS. Retreat/workshop: < 50 attendeesSingle-track: All attendees experience the same content at the same timeNope! Only to say that sometimes workshops on single topics are really productive and sometimes multi-track larger conferences are really helpful. I've had good experiences with both.Sampling and participant recruitment; Strategies for data analysis; research designPeople who are known to have developed skill sets and expertise in the methods/research addressed.It would be nice to have more conferences that bring together practitioners and researchers in academic positions, using similar research tools and strategies.",2,0.18827380952380954,0.42494047619047626
9,Healthcare,healthcare,0.5624999956334351,"Quantitative research: surveys, eye-tracking, neuroimaging
Qualitative research: coding behavioral observations",qual/quant,0.47029210627100787,,"evaluative, quantitative, qualitative",0.125,I have a PhD in psychology and took coursework on research design and methods.,degree majors,0.9353689176657943,,pay,0.16666666666666669,,"london, user_research",0.14285714285714288,Sharing of methods or best practices.,"new_method, mixed_method",0.8683986123644922,,"industry, team, product",0.25,,"speaker, industry",0.2,"No, I was not taught how to conduct researchI have a PhD in psychology and took coursework on research design and methods.n/an/an/aRetreat/workshop: < 50 attendeesMulti-track: Every attendee chooses their own path with multiple options available for most time-slotsn/aSharing of methods or best practices.n/an/a",2,0.5,0.43999999999999995
