00	01a	01b	01c	02a	02b	02c	02d	02e	02f	02g	02h	02i	02j	03	04	08a	08b	08c	08d	08e	08f	08g	08h	08i	08j	11a	11b	11c	11d	11e	12a	12b	12c	12d	12e	12f	12g	12h	13a	13b	13c	13d	13e	13g	13h	13i	13j	13f	19a	19b	19c	19d	19e	19f	19g	19h	20	05	06	07	10	14	15	16	17a	17b	18a	21	22	23	09a
284	Academic	4	1	Often	Neutral	Never	Often	Often	Often	Often	Neutral	Occasionally	All or almost all	1-25 employees	11-50 employees	10+ years	10+ years	10+ years	10+ years	10+ years	10+ years	10+ years	10+ years	10+ years	10+ years	Never	Rarely	Rarely	Sometimes	Often	Unlikely	Likely	Likely	Neutral	Likely	Likely	Extremely likely	Extremely likely	Important	Important	Very Important	Neutral	Important	Important	Somewhat Important	Important	Very Important	Somewhat Important	Very Important	Neutral	Neutral	Neutral	Important	Neutral	Neutral	Neutral		maritime	both qualitative and quantitative research	both qualitative and quantitative research				"CHI, INTERACT"	depending on the professional values	7	"any, depending on the values"	research-practice connections		research-practice connections	"sort of, psychology background."
288	Academic	4	1	Occasionally	Neutral	Occasionally	Often	Often	Often	Often	Often	Never	Often	"1,000+ employees"	50+ employees	10+ years	10+ years	10+ years	10+ years	10+ years	10+ years	10+ years	10+ years	3-5 years	10+ years	Sometimes	Often	Sometimes	Sometimes	Sometimes	Neutral	Likely	Likely	Neutral	Likely	Neutral	Neutral	Neutral	Important	Important	Very Important	Important	Very Important	Important	Important	Neutral	Very Important	Neutral	Important	Important	Important	Important	Important	Somewhat Important	Somewhat Important	Neutral		Higher education	Multiple	Multiple	Research methods and statistics training in both undergraduate and graduate education	"Content, cost, timing (can I get away at this time? Do I have scheduling conflicts?)"	"Dagstuhl workshop - small, intense, intimate group"	Hawaii international conference on Education	I would attend any of these	6	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots			"Don’t create schedule conflicts with other relevant events
Do it somewhere that you can draw your desired crowd"	"Yes, I was taught how to conduct research"
294	Academic	4	1	Often	Often	Occasionally	Often	Occasionally	Often	Often	Often	Occasionally	Often	"1,000+ employees"	50+ employees	7-10 years	7-10 years	5-7 years	5-7 years	7-10 years	7-10 years	7-10 years	7-10 years	5-7 years	5-7 years	Sometimes	Often	Sometimes	Sometimes	Sometimes	Likely	Extremely likely	Likely	Likely	Likely	Likely	Likely	Likely	Important	Important	Very Important	Very Important	Important	Important	Important	Very Important	Important	Very Important	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral	Neutral		University	"User research / Design research

Interviews, Surveys, FGs, User testing, both quant & qual, Analytics"	Online FG	"BA Sociology
MA LIS
PhD. LIS

online courses, conferences..."	"- time for travel (having two small children]
- speakers & topics"	"Courses at Copenhagen University  (deep knowledge, great professors, ...)"	"Research Tuesdays (Czech),  UX/Design Conferences, "	"It depends - I really enjoyed small conferences as IXDA Education Summit as there is great opportunity to network with other educators. On the other side, sometimes is great just to attend big conference to find an inspiration or just to meet coll..."	7	It depends			"Looking forward! 
"	"Yes, I was taught how to conduct research"
281	Academic	4	1	Often	All or almost all	Never	Neutral	Often	Neutral	Never	Occasionally	Never	Never	101-500 employees	6-10 employees	1-3 years	1-3 years	0-1 year	1-3 years	1-3 years	1-3 years	0-1 year	1-3 years	0-1 year	0-1 year	Rarely	Sometimes	Never	Rarely	Sometimes	Likely	Extremely likely	Likely	Neutral	Extremely likely	Neutral	Likely	Likely	Neutral	Important	Important	Important	Somewhat Important	Somewhat Important	Neutral	Important	Very Important	Somewhat Important	Very Important	Neutral	Important	Important	Neutral	Neutral	Important	Neutral		Ed Tech	"surveys, interviews, focus groups, secondary data, qualitative coding, field testing, observations"	"surveys, interviews, focus groups, secondary data, qualitative coding, field testing, observations, usability studies"	"I have an Applied Anthropology, MA. I designed, conducted, and authored a research project as a degree requirement (thesis) and took multiple methods courses."	My professional development budget allows me to attend local conferences only (Seattle area). I choose conferences that align topically to my current work.	A workshop at the Society for Applied Anthropology conference a few years back. We did a mock usability session.	A local education implementation conference.	Large conference: 500+ attendees	4	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots	"Research design, innovative methods, communicating research, working with non-researchers, rapid cycle research"			"Yes, I was taught how to conduct research"
280	Academic	4	1	Often	Often	Never	Occasionally	Occasionally	Often	Neutral	Occasionally	Never	Never			7-10 years	7-10 years	0-1 year	3-5 years	3-5 years	5-7 years	3-5 years	5-7 years	0-1 year	0-1 year	Rarely	Rarely	Rarely	Rarely	Sometimes	Likely	Likely	Likely	Unlikely	Neutral	Unlikely	Neutral	Unlikely	Important	Somewhat Important	Very Important	Neutral	Important	Neutral	Neutral	Very Important	Very Important	Somewhat Important	Very Important	Neutral	Important	Important	Neutral	Somewhat Important	Neutral	Neutral	"You should consider the combination of conference size and structure, i.e. I would be equally interested in small single-track and large multi-track conferences."	education							Large conference: 500+ attendees	4	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots				"No, I was not taught how to conduct research"
295	Academic	4	1	Often	All or almost all	Occasionally	Often	Occasionally	Often	All or almost all	Occasionally	Occasionally	All or almost all	"501-1,000 employees"	50+ employees	3-5 years	10+ years	0-1 year	3-5 years	7-10 years	10+ years	3-5 years	5-7 years	1-3 years	3-5 years	Rarely	Sometimes	Often	Never	Rarely	Extremely likely	Extremely likely	Likely	Neutral	Extremely likely	Extremely likely	Likely	Neutral	Not at all Important	Important	Very Important	Neutral	Neutral	Important	Very Important	Somewhat Important	Important	Important	Neutral	Very Important	Important	Important	Important	Somewhat Important	Important	Very Important		Higher Education	"As a university, we conduct a variety of research. I've noticed a general increase in pseudoquantitative research."	"All of the research, I think the biggest growth will be computational researcher."	"I have a Ph.D in Library and Information Science, my work and teaching has involved UX research and Information Architecture for a while. I also interned with a local firm that does UX research. Additionally, as a discipline we're increasingly entangled with data science, so I'm getting more of that, though to the extent I'm familiar it's largely been self taught."	"As a graduate student it was largely based on where, how much, and its strategic impact on my career. Conferencing seems to have a minimum impact so I've dialed it back a bit. I'm looking for events etc, that have that sort of sweet spot of interesting topics, interesting formats, potential impact on my career, ability to network. For locations I'm mostly looking for stuff that's in either a place I want to go, and is affordable. So like US cities work well for me because I'm American. There are a bunch of Academic conferences at exotic locations. I generally skip those. "	"IA summit: High quality talks, enthusiastic community, I was able to volunteer or speak and get my fee waived."	"IA Summit, ASIST"	Mid-size conference : 300-500 attendees	3	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots		"I like a mix, academics and professionals, quals and quants, etc. "	"I actually feel like the biggest contribution to this area might be an unconference, or series of unconferences, where workshops and presentations can get blended together. There's another similar thing I've seen where there is this really cool symposium that they have in the design thinking research community where they have a conference where all the attendees use a single set of research data to conduct a variety of studies. I thought that was a righteous idea. "	"Yes, I was taught how to conduct research"
291	Academic	4	1	Often	Often	Never	Often	Often	Often	Often	Often	Never	Neutral	"1,000+ employees"	50+ employees	7-10 years	10+ years	0-1 year	7-10 years	7-10 years	7-10 years	7-10 years	3-5 years	0-1 year	7-10 years	Rarely	Rarely	Rarely	Often	Sometimes	Unlikely	Unlikely	Neutral	Unlikely	Extremely likely	Likely	Likely	Extremely likely	Important	Important	Important	Neutral	Important	Important	Important	Important	Important	Important	Important	Important	Neutral	Neutral	Important	Somewhat Important	Neutral	Important		Education	"descriptive
projectual
participatory"	Participatory		List of next conferences	"Academic conferences 
"	"Marketing and design, technology management, innovation"	Mid-size conference : 300-500 attendees	3	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots	"design, participatory analysis, "	"companies, academic researchers, public policy makers"		"No, I was not taught how to conduct research"
290	Academic	4	1	Often	Often	Occasionally	Often	All or almost all	All or almost all	Often	Neutral	Occasionally	Often	"1,000+ employees"	50+ employees	7-10 years	10+ years	10+ years	7-10 years	10+ years	7-10 years	3-5 years	10+ years	10+ years	5-7 years	Sometimes	Often	Sometimes	Sometimes	Often	Likely	Extremely likely	Extremely likely	Extremely unlikely	Extremely likely	Neutral	Extremely likely	Likely	Important	Important	Very Important	Somewhat Important	Neutral	Neutral	Neutral	Neutral	Very Important	Somewhat Important	Very Important	Very Important	Somewhat Important	Neutral	Neutral	Not at all Important	Somewhat Important	Very Important		Education and research	Applied research	Applied and theoretic research	I coursed a Master and a PhD Program	According to my agenda and the quality (importamce) of the event	A research stay in a leading University	"Seminars in different universities: UCLA, UPF, UB, etc."	Mid-size conference : 300-500 attendees	3	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots	Sessions about new methodologies or cases studies	Leading researchers	Go ahead! Your prestige is a guaranty	"Yes, I was taught how to conduct research"
296	Academic	4	1	Often	Often	Never	Often	Occasionally	Often	All or almost all	Often	Never	Often	101-500 employees	50+ employees	10+ years	10+ years	0-1 year	7-10 years	10+ years	10+ years	5-7 years	5-7 years	0-1 year	5-7 years	Rarely	Sometimes	Rarely	Sometimes	Often	Neutral	Likely	Extremely likely	Neutral	Extremely likely	Unlikely	Likely	Likely	Important	Neutral	Very Important	Neutral	Important	Important	Not at all Important	Not at all Important	Very Important	Important	Important	Important	Neutral	Very Important	Important	Neutral	Neutral	Neutral	Nope! Only to say that sometimes workshops on single topics are really productive and sometimes multi-track larger conferences are really helpful. I've had good experiences with both.	education	ethnographic	ethnographic	"took classes, worked as a mentored research assistant, went to summer training in research design and methods, tried some research strategies out individually"	Through word of mouth and my previous experiences with specific conferences.	"Small conference on research on mass transit. It was organized extremely well, limited to about 18 people, everyone presented their research and received incredible feedback on methods and analysis, and there were additional spaces for more informal conversations. Also, many of the connections made in that conference are colleagues who I remain in contact with. "	"Session at Society for Applied Anth conference on UX research, session at AAAs on GIS. "	Retreat/workshop: < 50 attendees	1	Single-track: All attendees experience the same content at the same time	Sampling and participant recruitment; Strategies for data analysis; research design	People who are known to have developed skill sets and expertise in the methods/research addressed.	"It would be nice to have more conferences that bring together practitioners and researchers in academic positions, using similar research tools and strategies."	"Yes, I was taught how to conduct research"
279	Academic	4	1	Often	Often	Never	Often	Never	Neutral	Never	Never	Never	All or almost all	"501-1,000 employees"	50+ employees	7-10 years	7-10 years	0-1 year	3-5 years	1-3 years	5-7 years	0-1 year	0-1 year	0-1 year	3-5 years	Sometimes	Often	Rarely	Rarely	Sometimes	Neutral	Likely	Likely	Extremely unlikely	Extremely likely	Unlikely	Likely	Unlikely	Neutral	Very Important	Very Important	Very Important	Somewhat Important	Somewhat Important	Important	Neutral	Very Important	Not at all Important	Important	Neutral	Important	Very Important	Neutral	Somewhat Important	Neutral	Somewhat Important		Healthcare	"Quantitative research: surveys, eye-tracking, neuroimaging
Qualitative research: coding behavioral observations"		I have a PhD in psychology and took coursework on research design and methods.				Retreat/workshop: < 50 attendees	1	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots	Sharing of methods or best practices.			"No, I was not taught how to conduct research"
